Sl.No,project_name,agency,State,approval_date,start_date,original_doc,revised_doc,original_cost,revised_cost,expenditure,physical_progress,project_code,legacy_ocms_code,pmgid,cost_overrun_amount,cost_overrun_percent,expenditure_percent,remaining_cost,expenditure_progress_gap,planned_duration_months,approval_to_start_months,project_age_months,schedule_change_months,time_overrun_flag,cost_overrun_flag,project_size_category,low_progress_flag,spending_ahead_of_progress,expenditure_exceeds_revised_cost,extreme_cost_overrun,cost_risk,schedule_risk,progress_risk,financial_risk,risk_score,risk_level,intervention_priority
1759,Improvement & widening of existing NH-08 to 4-lane with Paved Shoulder from Champak Nagar to Khayerpur section design Km 242500 to Km 261610 in the state of Tripura on EPC basis under NHO-NE,NHIDCL,Tripura,2023-12-01,2024-09-01,2026-09-01,2027-03-01,920.66,920.66,0.0,43.8,NHIDCL,618350,N24002205,0.0,0.0,0.0,920.66,-43.8,24.0,9.0,19.0,6.0,1,0,Medium,0,0,0,0,0,25,75,0,26.25,LOW,1229
1676,Balance Works for six laning of Sriperumbudur to karaipettai section of NH-4 New NH- 48 from 37000 Existing Km 37000 to Km 71015 Existing Km 71000 in Tamilnadu on EPC mode underNHDP Phase-V,National Highways Authority of India [NHAI],Tamil Nadu,2024-06-01,2025-01-01,2026-10-01,2027-02-01,411.16,411.16,81.11,31.16,National Highways Authority of India [NHAI],618522,-,0.0,0.0,19.72711353244479,330.05,-11.43288646755521,21.0,7.0,15.0,4.0,1,0,Small,0,0,0,0,0,25,75,0,26.25,LOW,1229
245,Transmission System for evacuation of Power from Rajasthan REZ Ph-IV [Part-4 3.5 GW] Part A [SPV name POWERGRID Ghiror Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],"Multi-States
(Rajasthan, Uttar
Pradesh)",2024-12-01,2024-12-01,2026-12-01,2027-06-01,5846.0,5846.0,1636.88,31.37,Power Grid Corporation of India Limited [POWERGRID],616670,N18000407,0.0,0.0,28.000000000000004,4209.12,-3.3699999999999974,24.0,0.0,16.0,6.0,1,0,Mega,0,0,0,0,0,25,75,0,26.25,LOW,1229
240,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5 GW] [Jaisalmer/Barmer Complex] Part D [SPV Name POWERGRID Beawar Mandsaur Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],"Multi-States
(Madhya Pradesh,
Rajasthan)",2024-08-01,2024-08-01,2026-08-01,2026-12-01,2227.0,2227.0,979.88,38.74,Power Grid Corporation of India Limited [POWERGRID],615333,N18000393,0.0,0.0,44.0,1247.12,5.259999999999998,24.0,0.0,20.0,4.0,1,0,Large,0,0,0,0,0,25,75,0,26.25,LOW,1229
1654,6L access controlled Highway from Km 40080 to Km 86513 Mator to Barodameo Section,National Highways Authority of India [NHAI],Rajasthan,2022-09-01,2024-03-01,2026-03-01,2026-05-01,2010.2,1565.88,707.67,37.24,National Highways Authority of India [NHAI],618757,-,-444.31999999999994,-22.10327330613869,45.19311824660893,858.2100000000002,7.953118246608931,24.0,18.0,25.0,2.0,1,0,Large,0,0,0,0,0,25,75,0,26.25,LOW,1229
1512,2L/4L of Hoshiarpur to Una section including Hoshiarpur Bypass of NH 503A,National Highways Authority of India [NHAI],"Multi-States
(Himachal
Pradesh, Punjab)",2023-03-01,2025-05-01,2027-05-01,2027-05-01,571.34,481.88,63.4,24.87,National Highways Authority of India [NHAI],618907,-,-89.46000000000004,-15.657926978681704,13.15680252344982,418.48,-11.71319747655018,24.0,26.0,11.0,0.0,0,0,Medium,1,0,0,0,0,0,100,0,25.0,LOW,1252
1484,6L of Aurangabad to Bihar-Jharkhand border Chordaha section from km. 180.000 to km. 209.827 of NH-2 PKG-01,National Highways Authority of India [NHAI],"Multi-States
(Bihar, Jharkhand)",2021-02-01,2024-12-01,2026-12-01,2026-12-01,1054.46,786.81,110.8,20.88,National Highways Authority of India [NHAI],618531,N24001703,-267.6500000000001,-25.382660319025863,14.082179941790269,676.01,-6.79782005820973,24.0,46.0,16.0,0.0,0,0,Large,1,0,0,0,0,0,100,0,25.0,LOW,1252
1746,4L Access Controlled Greenfield Highway Section Mancherial Warangal from Pangidipalle village at Design Ch. 72.350 Km to Oorugonda village at Design Ch. 112.240 KmPackage-III,National Highways Authority of India [NHAI],Telangana,2023-03-01,2025-06-01,2027-06-01,2027-06-01,1183.71,1170.64,83.68,0.0,National Highways Authority of India [NHAI],618811,-,-13.069999999999936,-1.1041555786467916,7.148226611084535,1086.96,7.148226611084535,24.0,27.0,10.0,0.0,0,0,Large,1,0,0,0,0,0,100,0,25.0,LOW,1252
1913,Binnaguri Bypass-Descoped portion of Ghoshpukur-Dhupguri Section of NH-31Dpkg-1,National Highways Authority of India [NHAI],West Bengal,2025-03-01,2025-11-01,2027-11-01,2027-11-01,309.99,306.02,0.4,1.07,National Highways Authority of India [NHAI],618572,-,-3.9700000000000273,-1.2806864737572266,0.1307104110842428,305.62,-0.9392895889157572,24.0,8.0,5.0,0.0,0,0,Small,1,0,0,0,0,0,100,0,25.0,LOW,1252
1644,Upgradation to 2-Lane with Paved Shoulder from Design Km 36300 to Design Chainage 47918 and from Design Ch 69900 to Design Ch 83940 of NH-248A Natni Ka Bara in the State of Rajasthan on EPC Mode.,MoRTH,Rajasthan,2024-02-01,2024-11-01,2026-05-01,2026-05-01,154.89,154.89,11.94,23.0,MoRTH,618117,-,0.0,0.0,7.708696494286269,142.95,-15.291303505713731,18.0,9.0,17.0,0.0,0,0,Small,1,0,0,0,0,0,100,0,25.0,LOW,1252
1566,New construction of Major Bridge with Approaches from Km 0.000 to 1.200 Madhopur -Badabanta section of NH-20 under NHO in Annual Plan 2022-23 in the State of Odisha,MoRTH,Odisha,2023-03-01,2025-04-01,2027-10-01,2027-10-01,199.5,199.5,0.1,0.0,MoRTH,617898,-,0.0,0.0,0.050125313283208,199.4,0.050125313283208,30.0,25.0,12.0,0.0,0,0,Small,1,0,0,0,0,0,100,0,25.0,LOW,1252
1826,4L Green Field Northern East side Gorakhpur Bypass 26.616 Kms starting from NH- 29E Chainage 83.308 and end at NH-28 Chainage 285.100,National Highways Authority of India [NHAI],Uttar Pradesh,2023-02-01,2024-01-01,2026-01-01,2027-01-01,1973.98,1244.44,955.14,68.95,National Highways Authority of India [NHAI],618566,N24002096,-729.54,-36.95782125452132,76.75259554498408,289.30000000000007,7.802595544984072,24.0,11.0,27.0,12.0,1,0,Large,0,0,0,0,0,50,40,0,25.0,LOW,1252
1352,Rehabilitation and Up-gradation of i. Deogaon phata to Digras phata Ch. 0/000 to 15/000 & Selu to Borgavhan Ch 20/900 to 35/800 [Length 29.9km] ii. Injegaon Dhamoni to Pohner Phata Ch.58/200 to Ch. 83/700 [Length25.5 km] and iii. Pohner phata to Pathri Design Ch. 42/700 to 58/200 [Length 15.5 km] sections of NH-548B to Two lane with paved shoulder configuartion in the state of Maharashtra on EPC mode Total project length 70.9 Km.,MoRTH,Maharashtra,2024-03-01,2025-05-01,2027-05-01,2027-05-01,761.83,761.83,0.0,15.0,MoRTH,618150,-,0.0,0.0,0.0,761.83,-15.0,24.0,14.0,11.0,0.0,0,0,Medium,1,0,0,0,0,0,100,0,25.0,LOW,1252
1452,4-Laning of Kolasib - Sethawn section Package-5 of NH-6 from Existing Chainage km 86000 to km 107850 Design Chainage km 77500 to km 95500 on silchar - vairengte - sairang road under Bharatmala Pariyojna on EPC mode under NHO-NE Vairengte - Sairang Pkg-5,NHIDCL,Mizoram,2021-11-01,2025-07-01,2027-07-01,2027-06-01,720.4,720.4,40.29,11.86,NHIDCL,618318,-,0.0,0.0,5.592726263187118,680.11,-6.267273736812881,24.0,44.0,9.0,-1.0,0,0,Medium,1,0,0,0,0,0,100,0,25.0,LOW,1252
1509,4 laning of Aligarh-Palwal Section from Km. 46.390 Design Chainage to Km. 69.110 Terminating at junction EPE Package-II from Kurana- Eastern Peripheral Expressway of NH-334D,National Highways Authority of India [NHAI],"Multi-States
(Haryana, Uttar
Pradesh)",2024-03-01,2025-08-01,2027-08-01,2027-08-01,939.17,903.94,146.48,7.5,National Highways Authority of India [NHAI],618691,-,-35.229999999999905,-3.7511845565765416,16.20461535057636,757.46,8.704615350576361,24.0,17.0,8.0,0.0,0,0,Medium,1,0,0,0,0,0,100,0,25.0,LOW,1252
1761,Improvement and Widening to 2-lane with paved shoulder of road from design Km 36.000 Rangamati to design Km 72.000 Pati Chhari Total length 36.000 Km on Teliamura to Harina section of NH 208 in the state of Tripura on EPC mode under JICA ODA Loan Phase VI Package-3,NHIDCL,Tripura,2024-01-01,2024-09-01,2026-09-01,2026-09-01,670.9,670.9,0.0,14.0,NHIDCL,618368,N24002162,0.0,0.0,0.0,670.9,-14.0,24.0,8.0,19.0,0.0,0,0,Medium,1,0,0,0,0,0,100,0,25.0,LOW,1252
1451,4-Laning of chhimluang-Kolasib from section pkg-4 of NH-306 & NH-6 existing chainage km 59700 to km 86000 design chainage km 61000 to km 77500 on Silchar- vairengte-sairang road in the state of Mizoram under Bharatmala Pariyojna on EPC mode Vairengte - Sairang Pkg-4,NHIDCL,Mizoram,2021-12-01,2025-07-01,2027-01-01,2026-12-01,561.91,561.91,0.0,17.12,NHIDCL,618317,-,0.0,0.0,0.0,561.91,-17.12,18.0,43.0,9.0,-1.0,0,0,Medium,1,0,0,0,0,0,100,0,25.0,LOW,1252
1790,"Improvement and up-gradation to 2LPS of NH-227B 84-Kosi Parikrama Marg PackageVI, Design Km 160200 Bahuvan Madar Majha to Km 224040 Jagarnathpur under HAM",MoRTH,Uttar Pradesh,2023-05-01,2026-01-01,2028-01-01,2028-01-01,2008.7,2008.7,0.0,5.0,MoRTH,618162,-,0.0,0.0,0.0,2008.7,-5.0,24.0,32.0,3.0,0.0,0,0,Large,1,0,0,0,0,0,100,0,25.0,LOW,1252
1519,4L of NH-80 section of Mirza Chauki to Farakka section from existing km 190.00 to design km 200.75 junction at km 3.100 of NH 133 B and from existing km 260.00 to existing km 283.00 design km 274.133 in the state of Jharkhand package - II,National Highways Authority of India [NHAI],"Multi-States
(Jharkhand, West
Bengal)",2025-02-01,2026-02-01,2028-01-01,2028-01-01,782.18,782.18,22.95,4.3,National Highways Authority of India [NHAI],618948,-,0.0,0.0,2.9341072387430005,759.2299999999999,-1.365892761256999,23.0,12.0,2.0,0.0,0,0,Medium,1,0,0,0,0,0,100,0,25.0,LOW,1252
1837,4L of Bareilly-Pilibhit-Sitarganj from Km. 0.000 to Km. 32.500 of NH-30 Pkg-1,National Highways Authority of India [NHAI],Uttar Pradesh,2023-02-01,2024-03-01,2026-03-01,2026-11-01,1394.14,1394.14,561.53,58.86,National Highways Authority of India [NHAI],618782,-,0.0,0.0,40.27787740112183,832.6100000000001,-18.582122598878172,24.0,13.0,25.0,8.0,1,0,Large,0,0,0,0,0,50,40,0,25.0,LOW,1252
1398,Rehabilitation and Up gradation of Charthana Jintur Section of NH 752 I Km 25100 to 47100 to 2 Lane with Paved Shoulder configuration Flexible Pavement in the state of Maharashtra on EPC mode. Reg- Resubmission of Annual Plan Estimate.,MoRTH,Maharashtra,2025-03-01,2026-01-01,2027-07-01,2026-07-01,157.69,157.69,0.0,0.0,MoRTH,619008,-,0.0,0.0,0.0,157.69,0.0,18.0,10.0,3.0,-12.0,0,0,Small,1,0,0,0,0,0,100,0,25.0,LOW,1252
1453,"4-Laning of Sethawn - N. Kawnpui section Package-6 of NH-6 from Existing Chainage km 107850 to km 126315 Design Chainage km 95500 to km 111850 on Silchar- Vairengte- Sairang road, Vairengte - Sairang Pkg-6",NHIDCL,Mizoram,2021-12-01,2025-07-01,2027-01-01,2026-12-01,595.65,595.65,21.02,6.72,NHIDCL,618319,-,0.0,0.0,3.5289179887517843,574.63,-3.191082011248215,18.0,43.0,9.0,-1.0,0,0,Medium,1,0,0,0,0,0,100,0,25.0,LOW,1252
1450,4-Laning of Vairengte - Chhimluang section Package-3 of NH-306 from Existing Chainage km 43000 to Km 59700 Design Chainage km 46000 to km 60850 on Silchar - Vairengte- Sairang road in the State of Mizoram under Bharatmala Pariyojna under NHO-NE. Package-1&2 in Assam state,NHIDCL,Mizoram,2021-12-01,2025-07-01,2027-01-01,2026-12-01,491.39,491.39,32.46,17.86,NHIDCL,618316,-,0.0,0.0,6.60575103278455,458.93,-11.25424896721545,18.0,43.0,9.0,-1.0,0,0,Small,1,0,0,0,0,0,100,0,25.0,LOW,1252
1882,Rehabilitation and up-gradation to 2-lane configuration of Bageshwar to Kangarchina road from km 129.600 to Km 161.600 Existing Chainage 136.00 to Km 169.00 of NH- 309Ain the State of Uttarakhand Package-IV under NHO Annual Plan 2021-22,MoRTH,Uttarakhand,2022-03-01,2024-08-01,2027-02-01,,472.23,472.23,0.0,60.0,MoRTH,618119,-,0.0,0.0,0.0,472.23,-60.0,30.0,29.0,20.0,,0,0,Small,0,0,0,0,0,50,40,0,25.0,LOW,1252
1848,"Four Lane Highway from Chandan Nagar Existing Km. 59.025 of NH 530B/Design Km. 179.5000 to Bareilly BypassStartExisting Km. 59.025 of NH 530B/Design Km. 218.000 Section of NH 530B, in the State of Uttar Pradesh on HAM Mode under NH0",National Highways Authority of India [NHAI],Uttar Pradesh,2024-12-01,2025-11-01,2027-11-01,2027-11-01,2077.0,1112.44,223.68,16.01,National Highways Authority of India [NHAI],618866,-,-964.56,-46.44005777563794,20.107151846391716,888.76,4.097151846391714,24.0,11.0,5.0,0.0,0,0,Large,1,0,0,0,0,0,100,0,25.0,LOW,1252
1530,4L Shahpur to Muktainagar from Km. 186.000 to km 216.278 of NH 753L Pkg II of Boregaon Buzurg to Muktainagar,National Highways Authority of India [NHAI],"Multi-States
(Madhya Pradesh,
Maharashtra)",2022-12-01,2024-03-01,2026-03-01,2026-10-01,784.35,659.52,299.09,64.0,National Highways Authority of India [NHAI],619101,-,-124.83000000000004,-15.915088927137123,45.34964822901504,360.43,-18.65035177098496,24.0,15.0,25.0,7.0,1,0,Medium,0,0,0,0,0,50,40,0,25.0,LOW,1252
1731,Widening to two/four lane with paved shoulders from Km.34.250 to Km.71.830 of NH- 365A on Kodad-Khammam-Kurvi road.,MoRTH,Telangana,2022-10-01,2025-02-01,2027-01-01,2027-01-01,445.76,445.76,18.32,10.8,MoRTH,618140,-,0.0,0.0,4.109834888729361,427.44,-6.690165111270639,23.0,28.0,14.0,0.0,0,0,Small,1,0,0,0,0,0,100,0,25.0,LOW,1252
1440,Improvement and Widening of National Highway No. 127B Darugiri - Songsak - Williamnagar Junction Section to two lane with paved shoulder from design Km 0000 to Km 36635 Design length 36.635 Km existing Km 112000 to Km 151060 of NH-1278 under Bharatmala Pariyojana Lot-1 Pkg-1B Meghalaya portion,NHIDCL,Meghalaya,2023-03-01,2025-09-01,2027-09-01,2027-09-01,801.07,801.07,64.53,24.13,NHIDCL,618294,-,0.0,0.0,8.055475801116007,736.5400000000001,-16.074524198883992,24.0,30.0,7.0,0.0,0,0,Medium,1,0,0,0,0,0,100,0,25.0,LOW,1252
1657,Mayjilar Jaisalmer with Jaisalmer Bypass Link Road Section of NH-11 Part of BM-7 & Sundra Myajilar Ambsingh ki Dhani Road part of Munabao Tanot project NH-70,National Highways Authority of India [NHAI],Rajasthan,2025-03-01,2025-12-01,2027-12-01,2027-12-01,1237.71,927.02,0.54,5.6,National Highways Authority of India [NHAI],618797,-,-310.69000000000005,-25.102002892438456,0.0582511704170352,926.48,-5.541748829582964,24.0,9.0,4.0,0.0,0,0,Large,1,0,0,0,0,0,100,0,25.0,LOW,1252
1322,Rehabilitation And Upgradation to four lane with paved shoulder configuration from km 24350 to km 61875 Jawale - Borgaon Kale of NH-63 in the State of Maharashtra on EPC mode under Annual Plan 2024-25 Total length - 37.525 Km.,MoRTH,Maharashtra,2024-12-01,2025-09-01,2027-03-01,2027-03-01,574.18,574.18,0.06,10.0,MoRTH,617938,-,0.0,0.0,0.0104496847678428,574.12,-9.989550315232156,18.0,9.0,7.0,0.0,0,0,Medium,1,0,0,0,0,0,100,0,25.0,LOW,1252
1475,Walajahpet/Ranipet to TN/AP Border Section of from Km.106.800 to Km.133.36 NH-4,National Highways Authority of India [NHAI],"Multi-States
(Andhra Pradesh,
Tamil Nadu)",2024-12-01,2025-09-01,2027-09-01,2027-09-01,1338.14,1214.7,116.15,10.07,National Highways Authority of India [NHAI],618769,-,-123.44000000000004,-9.224744795013978,9.562031777393596,1098.55,-0.5079682226064044,24.0,9.0,7.0,0.0,0,0,Large,1,0,0,0,0,0,100,0,25.0,LOW,1252
1840,Construction of Underpass beneath airport runway on NH-31 old NH-56 for proposed expansion of runway of Babatpur Airport Varanasi,National Highways Authority of India [NHAI],Uttar Pradesh,2025-02-01,2025-09-01,2027-09-01,2027-09-01,649.44,649.44,0.09,6.6,National Highways Authority of India [NHAI],618848,-,0.0,0.0,0.0138580931263858,649.35,-6.586141906873614,24.0,7.0,7.0,0.0,0,0,Medium,1,0,0,0,0,0,100,0,25.0,LOW,1252
1844,"Improvement and Up-Gradation of Existing Road to 4L PS from Km 88.750 to 123.650, from Start of Shahjahanpur Bypass to start of Shahabad bypass of NH 731Pkg.-2A",National Highways Authority of India [NHAI],Uttar Pradesh,2022-09-01,2024-01-01,2026-01-01,2026-11-01,955.34,955.34,269.0,64.2,National Highways Authority of India [NHAI],618858,-,0.0,0.0,28.15751460213118,686.34,-36.04248539786882,24.0,16.0,27.0,10.0,1,0,Medium,0,0,0,0,0,50,40,0,25.0,LOW,1252
1567,Widening and Strengthening to 4LPS/2LPS from km 0.000 to 35.800 Kuakhia - Mangalpur section of NH 20 in the state of Odisha on Annual Plan 2021-22,MoRTH,Odisha,2022-03-01,2024-02-01,2026-02-01,2026-11-01,636.1,636.1,292.74,56.11,MoRTH,617899,N24002136,0.0,0.0,46.0210658701462,343.36,-10.088934129853795,24.0,23.0,26.0,9.0,1,0,Medium,0,0,0,0,0,50,40,0,25.0,LOW,1252
1571,Widening and Strengthening to 2LPS including LA from km 318.970 to 353.450 Balikuda-Mulkani Section of NH-55 under NHO in Annual Plan 2022-23 in the State of Odisha. Job No. NH-55-OD-2022-23-656,MoRTH,Odisha,2022-01-01,2025-06-01,2027-06-01,2027-06-01,511.54,511.54,0.0,3.0,MoRTH,617920,-,0.0,0.0,0.0,511.54,-3.0,24.0,41.0,10.0,0.0,0,0,Medium,1,0,0,0,0,0,100,0,25.0,LOW,1252
1568,construction or By-pass road on NH-26 for Nabrangpur Town,MoRTH,Odisha,2023-03-01,2024-12-01,2026-12-01,2026-12-01,168.95,168.95,7.84,21.0,MoRTH,617902,-,0.0,0.0,4.6404261615862685,161.11,-16.35957383841373,24.0,21.0,16.0,0.0,0,0,Small,1,0,0,0,0,0,100,0,25.0,LOW,1252
1798,"Rehabilitation and upgradation of Salon - Jais - Jagdishpur Road section of NH-931A, from design Chainage km 0.000 to km 5.740 to four lane divided carriageway and from design Chainage km 5.740 to km 53.500 to two lane with paved Total length km 53.500 along with One time improvement in 04 no's of realigned/bypassed built-up areas in a total length of 9.732 km in the state of Uttar Pradesh on EPC mode",MoRTH,Uttar Pradesh,2023-05-01,2025-10-01,2027-10-01,2027-10-01,947.15,947.15,0.0,4.0,MoRTH,618187,-,0.0,0.0,0.0,947.15,-4.0,24.0,29.0,6.0,0.0,0,0,Medium,1,0,0,0,0,0,100,0,25.0,LOW,1252
1857,4L Behsuma at Km 39.250 Ex. Km 39240 To Bijnor at Km 78.810 Ex. Km 86590 Design Length 39.560 Km of NH-119 Pkg-II,National Highways Authority of India [NHAI],Uttar Pradesh,2023-03-01,2024-05-01,2026-05-01,2026-05-01,2158.2,2553.12,694.43,65.21,National Highways Authority of India [NHAI],618923,-,394.9200000000001,18.29858215179317,27.199269912890895,1858.69,-38.010730087109096,24.0,14.0,23.0,0.0,0,1,Large,0,0,0,0,50,0,40,0,25.0,LOW,1252
1428,Balance work of Widening to 2 Two lane with hard shoulder of Churachandpur to Tuivai section of NH-102B from Design Chainage km 118850 to km 130000 Package- 4A in the State of Manipur on EPC Mode,NHIDCL,Manipur,2020-04-01,2025-08-01,2026-08-01,2026-08-01,204.12,204.12,0.0,21.39,NHIDCL,618349,-,0.0,0.0,0.0,204.12,-21.39,12.0,64.0,8.0,0.0,0,0,Small,1,0,0,0,0,0,100,0,25.0,LOW,1252
1495,4L of Kishanganj - Bahadurganj section from Km. 0.000 to Km. 23.649 & interchange at Start Point Length - 1.200 Km of NH-27,National Highways Authority of India [NHAI],"Multi-States
(Bihar, West
Bengal)",2025-01-01,2025-12-01,2027-12-01,2027-12-01,962.84,855.56,60.94,9.21,National Highways Authority of India [NHAI],618584,-,-107.28000000000009,-11.142038137177526,7.122820141194072,794.6199999999999,-2.0871798588059285,24.0,11.0,4.0,0.0,0,0,Medium,1,0,0,0,0,0,100,0,25.0,LOW,1252
1920,"Construction of Dubrajpur Bypass with 4-lane configuration of length 5.676 km on NH- 60 new NH-14 from design chainage 0.00 existing km 316.135 on NH-60 to design chainage 5.676 existing km 320.980 on NH-60 in the district of Birbhum, West Bengal under Annual Plan 2022-23 in EPC Mode- reg. Job. No. 014-WB-2022- 23/518 .",MoRTH,West Bengal,2023-03-01,2025-12-01,2027-12-01,2027-12-01,560.79,560.79,0.0,3.5,MoRTH,619004,-,0.0,0.0,0.0,560.79,-3.5,24.0,33.0,4.0,0.0,0,0,Medium,1,0,0,0,0,0,100,0,25.0,LOW,1252
1892,Upgradation to 2-lane with Hard shoulder configuration of Suraithota Ch. 29.725 km to Malari Ch. 60.550 km road on NH- 107B under in the state of Uttarakhand.,MoRTH,Uttarakhand,2022-10-01,2024-05-01,2026-05-01,2026-12-01,292.76,292.76,0.0,72.5,MoRTH,618219,-,0.0,0.0,0.0,292.76,-72.5,24.0,19.0,23.0,7.0,1,0,Small,0,0,0,0,0,50,40,0,25.0,LOW,1252
1774,Construction of Pratapgarh Bypass Extension connecting NH-31 to NH-330 on EPC mode in the State of Uttar Pradesh.,MoRTH,Uttar Pradesh,2022-10-01,2024-01-01,2025-06-01,2026-06-01,225.17,225.17,0.0,73.0,MoRTH,618055,N24002016,0.0,0.0,0.0,225.17,-73.0,17.0,15.0,27.0,12.0,1,0,Small,0,0,0,0,0,50,40,0,25.0,LOW,1252
1779,"Rehabilitation & Up-gradation from design Km. 0.000 to Km. 69.280 of NH-931 Pratapgarh - Amethi - Gauriganj -Musafirkhana to two lane with paved shoulder on Engineering, Procurement & Construction EpC mode in the State of Uttar Pradesh",MoRTH,Uttar Pradesh,2023-05-01,2025-11-01,2027-11-01,2027-11-01,1086.3,1086.3,0.0,4.0,MoRTH,618067,-,0.0,0.0,0.0,1086.3,-4.0,24.0,30.0,5.0,0.0,0,0,Large,1,0,0,0,0,0,100,0,25.0,LOW,1252
1804,Construction of 4 lane Mirzapur bypass including bridge over river Ganga from km 0.000 to km 15.000 of NH 135A in the State of Uttar Pradesh on HAM Mode.,MoRTH,Uttar Pradesh,2024-03-01,2026-01-01,2029-01-01,2029-01-01,1708.62,1708.62,0.0,2.0,MoRTH,618247,-,0.0,0.0,0.0,1708.62,-2.0,36.0,22.0,3.0,0.0,0,0,Large,1,0,0,0,0,0,100,0,25.0,LOW,1252
1936,Sewage Treatment Plant 50MLD and Sewerage Network 150 km in Kankarbagh- Patna under Hybrid annuity based PPP mode-Namami Gange Programme,National Mission for Clean Ganga,Bihar,2017-08-01,2019-07-01,2025-12-01,,578.89,578.89,171.79,54.0,National Mission for Clean Ganga,616612,N30000050,0.0,0.0,29.67575877973363,407.1,-24.32424122026637,77.0,23.0,81.0,,0,0,Medium,0,0,0,0,0,50,40,0,25.0,LOW,1252
1785,"Improvement and up-gradation of NH-227B 84 Kosi Parikrama Marg Package I, from km 228.920 Jagarnathpur to Km 235.960/0.000 MakhaudaDham to Km 29.000 Sarpur in the State of Uttar Pradesh on EPC basis",MoRTH,Uttar Pradesh,2022-03-01,2025-05-01,2026-11-01,2026-11-01,912.5,912.5,0.0,3.0,MoRTH,618112,N24002240,0.0,0.0,0.0,912.5,-3.0,18.0,38.0,11.0,0.0,0,0,Medium,1,0,0,0,0,0,100,0,25.0,LOW,1252
1858,2L PS of Najibabad Kotdwar section from 112.575 to Km. 138.635 of NH 119,National Highways Authority of India [NHAI],Uttar Pradesh,2021-10-01,2024-03-01,2025-09-01,2026-06-01,188.87,99.2,33.37,50.44,National Highways Authority of India [NHAI],618924,-,-89.67,-47.47710065124159,33.6391129032258,65.83000000000001,-16.800887096774197,18.0,29.0,25.0,9.0,1,0,Small,0,0,0,0,0,50,40,0,25.0,LOW,1252
1787,"Improvement and up-gradation of NH-227B 84 Kosi Parikrama Marg PackageV, from Design Km.140.960 Patranga to Km.160.200 Bahuvan Madar Majha on EPC mode in the State of Uttar Pradesh",MoRTH,Uttar Pradesh,2023-03-01,2026-02-01,2028-08-01,2028-08-01,1192.33,1192.33,0.0,0.0,MoRTH,618114,-,0.0,0.0,0.0,1192.33,0.0,30.0,35.0,2.0,0.0,0,0,Large,1,0,0,0,0,0,100,0,25.0,LOW,1252
1493,Construction of additional 3-Lane Bridge over River Ganga for connection between Buxar and Bharauli on NH-922 in the State of Uttar Pradesh and Bihar on Hybrid Annuity Mode,National Highways Authority of India [NHAI],"Multi-States
(Bihar, Uttar
Pradesh)",2024-03-01,2025-08-01,2028-02-01,2028-02-01,531.61,444.92,18.86,15.51,National Highways Authority of India [NHAI],618882,-,-86.69,-16.307067210925304,4.238964308190236,426.06,-11.271035691809765,30.0,17.0,8.0,0.0,0,0,Medium,1,0,0,0,0,0,100,0,25.0,LOW,1252
1791,"Rehabilitation and Up-gradation from km. 0000 to km.40390 of NH-730S MaharajganjNichloulThuthibari to two lane with paved shoulders in the State of U.P. on Engineering, Procurement & Construction EPC Basis.",MoRTH,Uttar Pradesh,2023-03-01,2024-06-01,2025-12-01,2026-12-01,809.25,603.19,0.0,58.0,MoRTH,618163,N24001418,-206.05999999999997,-25.463083101637313,0.0,603.19,-58.0,18.0,15.0,22.0,12.0,1,0,Medium,0,0,0,0,0,50,40,0,25.0,LOW,1252
1864,4 Lane Inner Ring Road around Allahabad City Pkg-1 Prayagraj Southern Bypass 34.400 43.200,National Highways Authority of India [NHAI],Uttar Pradesh,2025-02-01,2025-12-01,2027-12-01,2027-12-01,775.94,498.97,15.11,4.44,National Highways Authority of India [NHAI],618961,-,-276.97,-35.69477021419182,3.028238170631501,483.86,-1.4117618293684997,24.0,10.0,4.0,0.0,0,0,Medium,1,0,0,0,0,0,100,0,25.0,LOW,1252
1805,Widening to 4 lane from km. 139.00 to km 179.20 of NH-135A Pkg-III Jaunpur Akbarpur section and Akbarpur bypass on Hybrid Annuity Mode in the state of Uttar Pradesh.,MoRTH,Uttar Pradesh,2023-05-01,2026-01-01,2028-01-01,2028-01-01,1653.15,1653.15,0.0,10.0,MoRTH,618248,-,0.0,0.0,0.0,1653.15,-10.0,24.0,32.0,3.0,0.0,0,0,Large,1,0,0,0,0,0,100,0,25.0,LOW,1252
1569,Construction of Bypass road to Balangir town from km 72/400 Desing km 0/0 to km 79/800 Design km 11/670 of NH-26 in the State of Odisha.,MoRTH,Odisha,2022-02-01,2023-04-01,2025-10-01,2026-07-01,238.78,238.78,6.09,55.0,MoRTH,617904,N24001862,0.0,0.0,2.550464863053857,232.69,-52.449535136946146,30.0,14.0,36.0,9.0,1,0,Small,0,0,0,0,0,50,40,0,25.0,LOW,1252
